1	1	2	1	3	1
1	1	2	2	3	1
1	1	2	3	3	1
1	1	3	1	3	1
1	1	3	2	3	1
1	1	3	3	3	1
1	1	4	1	3	1
1	1	4	2	3	1
1	5	9	3	3	1
1	5	9	4	3	1
1	5	9	5	3	1
1	5	9	6	3	1
1	5	10	4	3	1
1	5	10	5	3	1
2	5	5	1	3	1
2	5	5	2	3	1
2	5	5	3	3	1
2	5	5	4	3	1
2	5	5	5	3	1
2	5	5	6	3	1
2	5	6	1	3	1
2	5	6	2	3	1
3	2	3	5	3	1
3	2	3	6	3	1
3	2	4	5	3	1
3	2	4	6	3	1
3	2	5	5	3	1
3	2	5	6	3	1
3	2	6	6	3	1
4	1	6	3	3	1
4	1	6	4	3	1
4	1	6	5	3	1
4	1	6	6	3	1
4	2	9	3	3	1
4	2	9	4	3	1
4	2	9	5	3	1
4	2	10	3	3	1
4	2	10	4	3	1
4	2	10	5	3	1
4	2	10	6	3	1
5	5	1	1	3	1
5	5	1	2	3	1
5	5	1	3	3	1
5	5	1	4	3	1
5	5	1	5	3	1
5	5	2	2	3	1
5	5	2	3	3	1
5	5	2	4	3	1
5	6	7	3	3	1
5	6	7	4	3	1
5	6	7	5	3	1
5	6	7	6	3	1
5	6	8	4	3	1
5	6	8	5	3	1
5	6	8	6	3	1
6	1	9	3	3	1
6	1	9	4	3	1
6	1	9	5	3	1
6	1	9	6	3	1
6	1	10	4	3	1
6	1	10	5	3	1
6	1	10	6	3	1
6	6	2	4	3	1
6	6	2	5	3	1
6	6	3	4	3	1
6	6	3	5	3	1
6	6	3	6	3	1
7	4	4	3	3	1
7	4	4	4	3	1
7	4	4	5	3	1
7	4	5	4	3	1
7	4	5	5	3	1
7	4	5	6	3	1
7	8	9	2	3	1
7	8	9	3	3	1
7	8	9	4	3	1
7	8	10	3	3	1
7	8	10	4	3	1
7	8	10	5	3	1
7	8	10	6	3	1
8	3	1	6	3	1
8	3	2	4	3	1
8	3	2	5	3	1
8	3	2	6	3	1
8	3	3	3	3	1
8	3	3	4	3	1
8	3	3	5	3	1
8	3	3	6	3	1
8	3	4	3	3	1
9	3	5	1	3	1
9	3	5	2	3	1
9	3	5	3	3	1
9	3	6	1	3	1
9	3	6	2	3	1
9	3	6	3	3	1
9	3	7	1	3	1
9	3	7	2	3	1
9	3	7	3	3	1
10	4	8	5	3	1
10	4	8	6	3	1
10	4	9	5	3	1
10	4	9	6	3	1
10	7	2	1	3	1
10	7	2	2	3	1
10	7	3	1	3	1
10	7	3	2	3	1
11	7	4	1	3	1
11	7	4	2	3	1
11	7	4	3	3	1
11	7	4	4	3	1
11	7	4	5	3	1
11	7	4	6	3	1
11	7	5	1	3	1
11	7	5	2	3	1
11	7	5	3	3	1
11	7	5	4	3	1
12	3	9	5	3	1
12	3	9	6	3	1
12	3	10	5	3	1
12	3	10	6	3	1
12	8	4	1	3	1
12	8	4	2	3	1
12	8	4	3	3	1
12	8	5	1	3	1
12	8	5	2	3	1
12	8	5	3	3	1
