24	100
24	100
24	100
31	100
31	100
31	100
38	100
38	100
73	40
73	40
73	40
73	40
80	40
80	40
45	40
45	40
45	40
45	40
45	40
45	40
52	40
52	40
111	100
111	100
118	100
118	100
125	100
125	100
132	100
52	100
52	100
52	100
52	100
153	100
153	100
153	100
160	100
160	100
160	100
160	100
17	40
17	40
17	40
17	40
17	40
24	40
24	40
24	40
139	40
139	40
139	40
139	40
146	40
146	40
146	40
73	100
73	100
73	100
73	100
80	100
80	100
80	100
104	40
104	40
111	40
111	40
111	40
118	70
118	70
118	70
125	70
125	70
125	70
153	10
153	10
153	10
160	10
160	10
160	10
160	10
17	70
24	70
24	70
24	70
31	70
31	70
31	70
31	70
38	70
45	70
45	70
45	70
52	70
52	70
52	70
59	70
59	70
59	70
146	70
146	70
153	70
153	70
24	10
24	10
31	10
31	10
38	10
38	10
38	10
38	10
38	10
38	10
45	10
45	10
45	10
45	10
73	70
73	70
80	70
80	70
118	10
118	10
118	10
125	10
125	10
125	10
